"('xml',)",[['xml']]
"('control', 'transmit port', 'brefclk_p', 'receiver equalization', 'requirements.', 'bringup.', 'irq', 'whatever frequency', 'whose reference', 'mono data,', 'unit contains:', 'transmit slew,', 'hdp protocol', 'alu', 'hdk', 'port', 'de-emphasis')","[['control', 'port', 'brefclk_p'], ['control', 'port', 'receiver equalization'], ['control', 'port', 'alu', 'transmit port', 'requirements.'], ['control', 'port', 'bringup.'], ['control', 'port', 'de-emphasis', 'irq'], ['control', 'port', 'whatever frequency'], ['control', 'port', 'whose reference'], ['control', 'port', 'mono data,'], ['control', 'port', 'unit contains:'], ['control', 'port', 'transmit slew,'], ['control', 'port', 'alu', 'transmit port', 'hdp protocol'], ['control', 'port', 'hdk'], ['brefclk_p', 'port', 'receiver equalization'], ['brefclk_p', 'port', 'alu', 'transmit port', 'requirements.'], ['brefclk_p', 'port', 'bringup.'], ['brefclk_p', 'port', 'de-emphasis', 'irq'], ['brefclk_p', 'port', 'whatever frequency'], ['brefclk_p', 'port', 'whose reference'], ['brefclk_p', 'port', 'mono data,'], ['brefclk_p', 'port', 'unit contains:'], ['brefclk_p', 'port', 'transmit slew,'], ['brefclk_p', 'port', 'alu', 'transmit port', 'hdp protocol'], ['brefclk_p', 'port', 'hdk'], ['receiver equalization', 'port', 'alu', 'transmit port', 'requirements.'], ['receiver equalization', 'port', 'bringup.'], ['receiver equalization', 'port', 'de-emphasis', 'irq'], ['receiver equalization', 'port', 'whatever frequency'], ['receiver equalization', 'port', 'whose reference'], ['receiver equalization', 'port', 'mono data,'], ['receiver equalization', 'port', 'unit contains:'], ['receiver equalization', 'port', 'transmit slew,'], ['receiver equalization', 'port', 'alu', 'transmit port', 'hdp protocol'], ['receiver equalization', 'port', 'hdk'], ['requirements.', 'transmit port', 'alu', 'port', 'bringup.'], ['requirements.', 'transmit port', 'alu', 'port', 'de-emphasis', 'irq'], ['requirements.', 'transmit port', 'alu', 'port', 'whatever frequency'], ['requirements.', 'transmit port', 'alu', 'port', 'whose reference'], ['requirements.', 'transmit port', 'alu', 'port', 'mono data,'], ['requirements.', 'transmit port', 'alu', 'port', 'unit contains:'], ['requirements.', 'transmit port', 'alu', 'port', 'transmit slew,'], ['requirements.', 'transmit port', 'hdp protocol'], ['requirements.', 'transmit port', 'alu', 'port', 'hdk'], ['bringup.', 'port', 'de-emphasis', 'irq'], ['bringup.', 'port', 'whatever frequency'], ['bringup.', 'port', 'whose reference'], ['bringup.', 'port', 'mono data,'], ['bringup.', 'port', 'unit contains:'], ['bringup.', 'port', 'transmit slew,'], ['bringup.', 'port', 'alu', 'transmit port', 'hdp protocol'], ['bringup.', 'port', 'hdk'], ['irq', 'de-emphasis', 'port', 'whatever frequency'], ['irq', 'de-emphasis', 'port', 'whose reference'], ['irq', 'de-emphasis', 'port', 'mono data,'], ['irq', 'de-emphasis', 'port', 'unit contains:'], ['irq', 'de-emphasis', 'port', 'transmit slew,'], ['irq', 'de-emphasis', 'port', 'alu', 'transmit port', 'hdp protocol'], ['irq', 'de-emphasis', 'port', 'hdk'], ['whatever frequency', 'port', 'whose reference'], ['whatever frequency', 'port', 'mono data,'], ['whatever frequency', 'port', 'unit contains:'], ['whatever frequency', 'port', 'transmit slew,'], ['whatever frequency', 'port', 'alu', 'transmit port', 'hdp protocol'], ['whatever frequency', 'port', 'hdk'], ['whose reference', 'port', 'mono data,'], ['whose reference', 'port', 'unit contains:'], ['whose reference', 'port', 'transmit slew,'], ['whose reference', 'port', 'alu', 'transmit port', 'hdp protocol'], ['whose reference', 'port', 'hdk'], ['mono data,', 'port', 'unit contains:'], ['mono data,', 'port', 'transmit slew,'], ['mono data,', 'port', 'alu', 'transmit port', 'hdp protocol'], ['mono data,', 'port', 'hdk'], ['unit contains:', 'port', 'transmit slew,'], ['unit contains:', 'port', 'alu', 'transmit port', 'hdp protocol'], ['unit contains:', 'port', 'hdk'], ['transmit slew,', 'port', 'alu', 'transmit port', 'hdp protocol'], ['transmit slew,', 'port', 'hdk'], ['hdp protocol', 'transmit port', 'alu', 'port', 'hdk']]"
"('figure5', 'figure23')","[['figure5', 'figure23']]"
"('operating', 'virtual', 'hours', 'enumerated', '72', 'position', 'movements')","[['virtual', 'position', 'hours'], ['virtual', 'position', 'enumerated'], ['virtual', 'position', '72'], ['virtual', 'position', 'operating', 'movements'], ['hours', 'position', 'enumerated'], ['hours', 'position', '72'], ['hours', 'position', 'operating', 'movements'], ['enumerated', 'position', '72'], ['enumerated', 'position', 'operating', 'movements'], ['72', 'position', 'operating', 'movements']]"
"('application', 'system performance', 'logic')","[['application', 'system performance', 'logic']]"
"('pci express host',)",[['pci express host']]
"('3.4.1',)",[['3.4.1']]
"('system memory', 'national', 'processors')","[['system memory', 'processors', 'national']]"
"('kernel', 'thread', 'nature', 'programmed', 'transactions', 'equalization', 'whatever', 'events', 'ibis', 'threads', 'diodes', 'amplitude', 'slew')","[['kernel', 'transactions', 'threads', 'thread', 'nature', 'programmed'], ['kernel', 'transactions', 'threads', 'thread', 'nature', 'equalization'], ['kernel', 'transactions', 'threads', 'thread', 'nature', 'whatever'], ['kernel', 'transactions', 'threads', 'thread', 'events'], ['kernel', 'transactions', 'threads', 'thread', 'nature', 'ibis'], ['kernel', 'transactions', 'threads', 'diodes'], ['kernel', 'transactions', 'threads', 'thread', 'nature', 'amplitude'], ['kernel', 'transactions', 'threads', 'thread', 'nature', 'slew'], ['programmed', 'nature', 'equalization'], ['programmed', 'nature', 'whatever'], ['programmed', 'nature', 'thread', 'events'], ['programmed', 'nature', 'ibis'], ['programmed', 'nature', 'thread', 'threads', 'diodes'], ['programmed', 'nature', 'amplitude'], ['programmed', 'nature', 'slew'], ['equalization', 'nature', 'whatever'], ['equalization', 'nature', 'thread', 'events'], ['equalization', 'nature', 'ibis'], ['equalization', 'nature', 'thread', 'threads', 'diodes'], ['equalization', 'nature', 'amplitude'], ['equalization', 'nature', 'slew'], ['whatever', 'nature', 'thread', 'events'], ['whatever', 'nature', 'ibis'], ['whatever', 'nature', 'thread', 'threads', 'diodes'], ['whatever', 'nature', 'amplitude'], ['whatever', 'nature', 'slew'], ['events', 'thread', 'nature', 'ibis'], ['events', 'thread', 'threads', 'diodes'], ['events', 'thread', 'nature', 'amplitude'], ['events', 'thread', 'nature', 'slew'], ['ibis', 'nature', 'thread', 'threads', 'diodes'], ['ibis', 'nature', 'amplitude'], ['ibis', 'nature', 'slew'], ['diodes', 'threads', 'thread', 'nature', 'amplitude'], ['diodes', 'threads', 'thread', 'nature', 'slew'], ['amplitude', 'nature', 'slew']]"
"('working', 'specification', 'allows', 'free', 'specific', 'rising', 'timing', 'fixed')","[['allows', 'specification', 'working', 'timing', 'free'], ['allows', 'specification', 'working', 'timing', 'fixed', 'specific'], ['allows', 'specification', 'working', 'timing', 'fixed', 'rising'], ['free', 'timing', 'fixed', 'specific'], ['free', 'timing', 'fixed', 'rising'], ['specific', 'fixed', 'rising']]"
"('3.1.1', 'supply', 'starts', 'avoid', 'purposes', 'long', 'sstl dc', 'sequencing', 'asserted', 'absolute maximum')","[['avoid', 'absolute maximum', 'purposes'], ['avoid', 'absolute maximum', 'starts', 'long'], ['avoid', 'absolute maximum', 'sstl dc'], ['avoid', 'absolute maximum', 'supply', '3.1.1', 'sequencing'], ['avoid', 'absolute maximum', 'asserted'], ['purposes', 'absolute maximum', 'starts', 'long'], ['purposes', 'absolute maximum', 'sstl dc'], ['purposes', 'absolute maximum', 'supply', '3.1.1', 'sequencing'], ['purposes', 'absolute maximum', 'asserted'], ['long', 'starts', 'absolute maximum', 'sstl dc'], ['long', 'starts', 'absolute maximum', 'supply', '3.1.1', 'sequencing'], ['long', 'starts', 'absolute maximum', 'asserted'], ['sstl dc', 'absolute maximum', 'supply', '3.1.1', 'sequencing'], ['sstl dc', 'absolute maximum', 'asserted'], ['sequencing', '3.1.1', 'supply', 'absolute maximum', 'asserted']]"
"('compliant', 'important', 'uses', 'initialization')","[['important', 'initialization', 'compliant', 'uses']]"
"('assist', 'in-circuit debug', 'host logic')","[['in-circuit debug', 'assist', 'host logic']]"
"('count', 'wide', 'two', 'sys', 'connected', 'local')","[['count', 'local', 'connected', 'wide'], ['count', 'local', 'two'], ['count', 'local', 'sys'], ['wide', 'connected', 'local', 'two'], ['wide', 'connected', 'local', 'sys'], ['two', 'local', 'sys']]"
"('items', 'clock input,', 'frequently')","[['items', 'frequently', 'clock input,']]"
"('packaging', 'concurrent', 'component')","[['packaging', 'component', 'concurrent']]"
"('operations', 'proprietary', 'marked', 'one', '128', 'single', 'flow control', 'forwarded', 'handles', 'program', 'diagrams', 'triggered', 'overall', 'ors', 'edges', 'multiplication', 'handled', 'branching', 'prior', 'allow', 'simulated', 'treated')","[['operations', 'forwarded', 'flow control', 'marked', '128'], ['operations', 'forwarded', 'flow control', 'marked', 'single'], ['operations', 'forwarded', 'flow control', 'marked', 'handles'], ['operations', 'forwarded', 'program'], ['operations', 'forwarded', 'flow control', 'marked', 'diagrams'], ['operations', 'forwarded', 'flow control', 'marked', 'triggered'], ['operations', 'forwarded', 'overall'], ['operations', 'forwarded', 'ors'], ['operations', 'forwarded', 'flow control', 'marked', 'edges'], ['operations', 'forwarded', 'one', 'proprietary', 'multiplication'], ['operations', 'forwarded', 'flow control', 'marked', 'handled'], ['operations', 'forwarded', 'branching'], ['operations', 'forwarded', 'prior'], ['operations', 'forwarded', 'allow'], ['operations', 'forwarded', 'simulated'], ['operations', 'forwarded', 'flow control', 'marked', 'treated'], ['128', 'marked', 'single'], ['128', 'marked', 'handles'], ['128', 'marked', 'flow control', 'forwarded', 'program'], ['128', 'marked', 'diagrams'], ['128', 'marked', 'triggered'], ['128', 'marked', 'flow control', 'forwarded', 'overall'], ['128', 'marked', 'flow control', 'forwarded', 'ors'], ['128', 'marked', 'edges'], ['128', 'marked', 'flow control', 'forwarded', 'one', 'proprietary', 'multiplication'], ['128', 'marked', 'handled'], ['128', 'marked', 'flow control', 'forwarded', 'branching'], ['128', 'marked', 'flow control', 'forwarded', 'prior'], ['128', 'marked', 'flow control', 'forwarded', 'allow'], ['128', 'marked', 'flow control', 'forwarded', 'simulated'], ['128', 'marked', 'treated'], ['single', 'marked', 'handles'], ['single', 'marked', 'flow control', 'forwarded', 'program'], ['single', 'marked', 'diagrams'], ['single', 'marked', 'triggered'], ['single', 'marked', 'flow control', 'forwarded', 'overall'], ['single', 'marked', 'flow control', 'forwarded', 'ors'], ['single', 'marked', 'edges'], ['single', 'marked', 'flow control', 'forwarded', 'one', 'proprietary', 'multiplication'], ['single', 'marked', 'handled'], ['single', 'marked', 'flow control', 'forwarded', 'branching'], ['single', 'marked', 'flow control', 'forwarded', 'prior'], ['single', 'marked', 'flow control', 'forwarded', 'allow'], ['single', 'marked', 'flow control', 'forwarded', 'simulated'], ['single', 'marked', 'treated'], ['handles', 'marked', 'flow control', 'forwarded', 'program'], ['handles', 'marked', 'diagrams'], ['handles', 'marked', 'triggered'], ['handles', 'marked', 'flow control', 'forwarded', 'overall'], ['handles', 'marked', 'flow control', 'forwarded', 'ors'], ['handles', 'marked', 'edges'], ['handles', 'marked', 'flow control', 'forwarded', 'one', 'proprietary', 'multiplication'], ['handles', 'marked', 'handled'], ['handles', 'marked', 'flow control', 'forwarded', 'branching'], ['handles', 'marked', 'flow control', 'forwarded', 'prior'], ['handles', 'marked', 'flow control', 'forwarded', 'allow'], ['handles', 'marked', 'flow control', 'forwarded', 'simulated'], ['handles', 'marked', 'treated'], ['program', 'forwarded', 'flow control', 'marked', 'diagrams'], ['program', 'forwarded', 'flow control', 'marked', 'triggered'], ['program', 'forwarded', 'overall'], ['program', 'forwarded', 'ors'], ['program', 'forwarded', 'flow control', 'marked', 'edges'], ['program', 'forwarded', 'one', 'proprietary', 'multiplication'], ['program', 'forwarded', 'flow control', 'marked', 'handled'], ['program', 'forwarded', 'branching'], ['program', 'forwarded', 'prior'], ['program', 'forwarded', 'allow'], ['program', 'forwarded', 'simulated'], ['program', 'forwarded', 'flow control', 'marked', 'treated'], ['diagrams', 'marked', 'triggered'], ['diagrams', 'marked', 'flow control', 'forwarded', 'overall'], ['diagrams', 'marked', 'flow control', 'forwarded', 'ors'], ['diagrams', 'marked', 'edges'], ['diagrams', 'marked', 'flow control', 'forwarded', 'one', 'proprietary', 'multiplication'], ['diagrams', 'marked', 'handled'], ['diagrams', 'marked', 'flow control', 'forwarded', 'branching'], ['diagrams', 'marked', 'flow control', 'forwarded', 'prior'], ['diagrams', 'marked', 'flow control', 'forwarded', 'allow'], ['diagrams', 'marked', 'flow control', 'forwarded', 'simulated'], ['diagrams', 'marked', 'treated'], ['triggered', 'marked', 'flow control', 'forwarded', 'overall'], ['triggered', 'marked', 'flow control', 'forwarded', 'ors'], ['triggered', 'marked', 'edges'], ['triggered', 'marked', 'flow control', 'forwarded', 'one', 'proprietary', 'multiplication'], ['triggered', 'marked', 'handled'], ['triggered', 'marked', 'flow control', 'forwarded', 'branching'], ['triggered', 'marked', 'flow control', 'forwarded', 'prior'], ['triggered', 'marked', 'flow control', 'forwarded', 'allow'], ['triggered', 'marked', 'flow control', 'forwarded', 'simulated'], ['triggered', 'marked', 'treated'], ['overall', 'forwarded', 'ors'], ['overall', 'forwarded', 'flow control', 'marked', 'edges'], ['overall', 'forwarded', 'one', 'proprietary', 'multiplication'], ['overall', 'forwarded', 'flow control', 'marked', 'handled'], ['overall', 'forwarded', 'branching'], ['overall', 'forwarded', 'prior'], ['overall', 'forwarded', 'allow'], ['overall', 'forwarded', 'simulated'], ['overall', 'forwarded', 'flow control', 'marked', 'treated'], ['ors', 'forwarded', 'flow control', 'marked', 'edges'], ['ors', 'forwarded', 'one', 'proprietary', 'multiplication'], ['ors', 'forwarded', 'flow control', 'marked', 'handled'], ['ors', 'forwarded', 'branching'], ['ors', 'forwarded', 'prior'], ['ors', 'forwarded', 'allow'], ['ors', 'forwarded', 'simulated'], ['ors', 'forwarded', 'flow control', 'marked', 'treated'], ['edges', 'marked', 'flow control', 'forwarded', 'one', 'proprietary', 'multiplication'], ['edges', 'marked', 'handled'], ['edges', 'marked', 'flow control', 'forwarded', 'branching'], ['edges', 'marked', 'flow control', 'forwarded', 'prior'], ['edges', 'marked', 'flow control', 'forwarded', 'allow'], ['edges', 'marked', 'flow control', 'forwarded', 'simulated'], ['edges', 'marked', 'treated'], ['multiplication', 'proprietary', 'one', 'forwarded', 'flow control', 'marked', 'handled'], ['multiplication', 'proprietary', 'one', 'forwarded', 'branching'], ['multiplication', 'proprietary', 'one', 'forwarded', 'prior'], ['multiplication', 'proprietary', 'one', 'forwarded', 'allow'], ['multiplication', 'proprietary', 'one', 'forwarded', 'simulated'], ['multiplication', 'proprietary', 'one', 'forwarded', 'flow control', 'marked', 'treated'], ['handled', 'marked', 'flow control', 'forwarded', 'branching'], ['handled', 'marked', 'flow control', 'forwarded', 'prior'], ['handled', 'marked', 'flow control', 'forwarded', 'allow'], ['handled', 'marked', 'flow control', 'forwarded', 'simulated'], ['handled', 'marked', 'treated'], ['branching', 'forwarded', 'prior'], ['branching', 'forwarded', 'allow'], ['branching', 'forwarded', 'simulated'], ['branching', 'forwarded', 'flow control', 'marked', 'treated'], ['prior', 'forwarded', 'allow'], ['prior', 'forwarded', 'simulated'], ['prior', 'forwarded', 'flow control', 'marked', 'treated'], ['allow', 'forwarded', 'simulated'], ['allow', 'forwarded', 'flow control', 'marked', 'treated'], ['simulated', 'forwarded', 'flow control', 'marked', 'treated']]"
"('2.3',)",[['2.3']]
"('tap',)",[['tap']]
"('runs', 'stream', 'flow', 'bytes', 'assertion', 'transferred', 'synchronize', 'outside', 'various', 'response', 'clamping', 'issue', 'fetch', 'speeds')","[['stream', 'assertion', 'transferred'], ['stream', 'assertion', 'synchronize'], ['stream', 'assertion', 'runs', 'outside'], ['stream', 'assertion', 'flow', 'various'], ['stream', 'assertion', 'bytes', 'response'], ['stream', 'assertion', 'runs', 'speeds', 'clamping'], ['stream', 'assertion', 'runs', 'speeds', 'issue'], ['stream', 'assertion', 'fetch'], ['transferred', 'assertion', 'synchronize'], ['transferred', 'assertion', 'runs', 'outside'], ['transferred', 'assertion', 'flow', 'various'], ['transferred', 'assertion', 'bytes', 'response'], ['transferred', 'assertion', 'runs', 'speeds', 'clamping'], ['transferred', 'assertion', 'runs', 'speeds', 'issue'], ['transferred', 'assertion', 'fetch'], ['synchronize', 'assertion', 'runs', 'outside'], ['synchronize', 'assertion', 'flow', 'various'], ['synchronize', 'assertion', 'bytes', 'response'], ['synchronize', 'assertion', 'runs', 'speeds', 'clamping'], ['synchronize', 'assertion', 'runs', 'speeds', 'issue'], ['synchronize', 'assertion', 'fetch'], ['outside', 'runs', 'assertion', 'flow', 'various'], ['outside', 'runs', 'assertion', 'bytes', 'response'], ['outside', 'runs', 'speeds', 'clamping'], ['outside', 'runs', 'speeds', 'issue'], ['outside', 'runs', 'assertion', 'fetch'], ['various', 'flow', 'assertion', 'bytes', 'response'], ['various', 'flow', 'assertion', 'runs', 'speeds', 'clamping'], ['various', 'flow', 'assertion', 'runs', 'speeds', 'issue'], ['various', 'flow', 'assertion', 'fetch'], ['response', 'bytes', 'assertion', 'runs', 'speeds', 'clamping'], ['response', 'bytes', 'assertion', 'runs', 'speeds', 'issue'], ['response', 'bytes', 'assertion', 'fetch'], ['clamping', 'speeds', 'issue'], ['clamping', 'speeds', 'runs', 'assertion', 'fetch'], ['issue', 'speeds', 'runs', 'assertion', 'fetch']]"
"('figure24',)",[['figure24']]
"('modify', 'possible')","[['modify', 'possible']]"
"('pci',)",[['pci']]
"('3.2', 'handling', 'assembly', 'types')","[['3.2', 'handling', 'assembly'], ['3.2', 'handling', 'types'], ['assembly', 'handling', 'types']]"
"('relative', '60', 'pipelined', 'cycle')","[['60', 'cycle', 'relative', 'pipelined']]"
"('boot system', 'hgnt', 'pvci')","[['hgnt', 'boot system', 'pvci']]"
"('bidirectional', 'humidity')","[['bidirectional', 'humidity']]"
"('space ratio,', 'hrss part', 'interference.', 'gpio pin', 'space', 'pin bypass', 'pcie system', 'ccb blocking,', 'device pin')","[['space ratio,', 'interference.', 'hrss part'], ['space ratio,', 'interference.', 'gpio pin', 'ccb blocking,', 'space'], ['space ratio,', 'interference.', 'pin bypass'], ['space ratio,', 'interference.', 'pcie system'], ['space ratio,', 'interference.', 'device pin'], ['hrss part', 'interference.', 'gpio pin', 'ccb blocking,', 'space'], ['hrss part', 'interference.', 'pin bypass'], ['hrss part', 'interference.', 'pcie system'], ['hrss part', 'interference.', 'device pin'], ['space', 'ccb blocking,', 'gpio pin', 'interference.', 'pin bypass'], ['space', 'ccb blocking,', 'gpio pin', 'interference.', 'pcie system'], ['space', 'ccb blocking,', 'gpio pin', 'interference.', 'device pin'], ['pin bypass', 'interference.', 'pcie system'], ['pin bypass', 'interference.', 'device pin'], ['pcie system', 'interference.', 'device pin']]"
"('glitch', 'must', 'independent')","[['glitch', 'independent', 'must']]"
"('network.', 'floor', 'sensitivity', 'packet', 'ii', 'enumeration', 'moisture', 'hours.', 'aggregate', 'unique', 'bandwidth.')","[['floor', 'unique', 'ii', 'network.', 'sensitivity'], ['floor', 'unique', 'packet'], ['floor', 'unique', 'enumeration'], ['floor', 'unique', 'moisture'], ['floor', 'unique', 'hours.'], ['floor', 'unique', 'ii', 'aggregate'], ['floor', 'unique', 'ii', 'bandwidth.'], ['sensitivity', 'network.', 'ii', 'unique', 'packet'], ['sensitivity', 'network.', 'ii', 'unique', 'enumeration'], ['sensitivity', 'network.', 'ii', 'unique', 'moisture'], ['sensitivity', 'network.', 'ii', 'unique', 'hours.'], ['sensitivity', 'network.', 'ii', 'aggregate'], ['sensitivity', 'network.', 'ii', 'bandwidth.'], ['packet', 'unique', 'enumeration'], ['packet', 'unique', 'moisture'], ['packet', 'unique', 'hours.'], ['packet', 'unique', 'ii', 'aggregate'], ['packet', 'unique', 'ii', 'bandwidth.'], ['enumeration', 'unique', 'moisture'], ['enumeration', 'unique', 'hours.'], ['enumeration', 'unique', 'ii', 'aggregate'], ['enumeration', 'unique', 'ii', 'bandwidth.'], ['moisture', 'unique', 'hours.'], ['moisture', 'unique', 'ii', 'aggregate'], ['moisture', 'unique', 'ii', 'bandwidth.'], ['hours.', 'unique', 'ii', 'aggregate'], ['hours.', 'unique', 'ii', 'bandwidth.'], ['aggregate', 'ii', 'bandwidth.']]"
"('3.6',)",[['3.6']]
"('outputs', 'lower', 'functioning', 'toggling', 'varying')","[['outputs', 'toggling', 'lower', 'functioning'], ['outputs', 'toggling', 'lower', 'varying'], ['functioning', 'lower', 'varying']]"
